ticker,has_prices,price_age_days,has_fundamentals,filing_age_days,has_market_cap,freshness_label
IT,False,,False,,False,missing
ITUB,True,3,True,4,True,fresh
ITW,True,3,True,80,True,fresh
IVZ,False,,False,,False,missing
IX,True,3,True,314,True,fresh
J,False,,False,,False,missing
JBHT,False,,False,,False,missing
JBL,True,3,True,26,True,fresh
JCI,True,3,True,89,True,fresh
JD,True,3,True,18,True,fresh
JKHY,False,,False,,False,missing
JNJ,True,3,True,12,True,fresh
JPM,False,,True,80,False,missing
KB,True,3,True,6,True,fresh
KDP,True,3,True,11,True,fresh
KEY,False,,False,,False,missing
KEYS,True,3,True,60,True,fresh
KGC,True,3,True,39,True,fresh
KHC,True,3,True,81,True,fresh
KIM,False,,False,,False,missing
KKR,True,3,True,66,True,fresh
KLAC,True,3,True,4,True,fresh
KMB,True,3,True,6,True,fresh
KMI,True,3,True,10,True,fresh
KO,True,3,True,4,True,fresh
KR,True,3,True,34,True,fresh
KVUE,True,3,True,73,True,fresh
L,False,,False,,False,missing
LDOS,False,,False,,False,missing
LEN,False,,False,,False,missing
LH,False,,False,,False,missing
LHX,True,3,True,4,True,fresh
LII,False,,False,,False,missing
LIN,True,3,True,68,True,fresh
LITE,True,3,True,89,True,fresh
LLY,True,3,True,4,True,fresh
LMT,True,3,True,11,True,fresh
LNG,True,3,True,67,True,fresh
LNT,False,,False,,False,missing
LOW,True,3,True,42,True,fresh
LPLA,True,3,True,70,True,fresh
LRCX,True,3,True,11,True,fresh
LSEGY,True,3,False,,False,fresh
LULU,False,,False,,True,missing
LUV,False,,False,,True,missing
LVS,True,3,True,10,True,fresh
LYB,False,,False,,False,missing
LYG,True,3,True,80,True,fresh
LYV,True,3,True,74,True,fresh
MA,True,3,True,4,True,fresh
MAA,False,,False,,False,missing
MAR,True,3,True,83,True,fresh
MAS,False,,False,,False,missing
MCD,True,3,True,69,True,fresh
MCHP,True,3,True,88,True,fresh
MCK,True,3,True,89,True,fresh
MCO,True,3,True,11,True,fresh
MDLN,True,3,True,68,False,fresh
MDLZ,True,3,True,6,True,fresh
MDT,True,3,True,69,True,fresh
MELI,True,3,True,68,True,fresh
MET,True,3,True,74,True,fresh
META,True,3,True,4,False,fresh
MFC,True,3,True,82,False,fresh
MFG,True,3,True,313,True,fresh
MGM,False,,False,,False,missing
MKC,False,,False,,False,missing
MLM,True,3,True,4,True,fresh
MMM,True,3,True,13,True,fresh
MNST,True,3,True,66,True,fresh
MO,True,3,True,4,True,fresh
MOS,False,,False,,False,missing
MPC,True,3,True,67,True,fresh
MPLX,True,3,True,67,True,fresh
MPWR,True,3,True,66,True,fresh
MRK,True,3,True,69,True,fresh
MRNA,False,,False,,False,missing
MRSH,True,3,True,18,True,fresh
MRVL,True,3,True,54,True,fresh
MS,True,3,True,74,True,fresh
MSCI,True,3,True,13,True,fresh
MSFT,True,3,True,5,True,fresh
MSI,True,3,True,81,True,fresh
